pxd,AnnotationType,precision,recall,f1,jacc
PXD019519,Characteristics[NumberOfTechnicalReplicates],1.0,1.0,1.0,1.0
PXD019519,Characteristics[GrowthRate],1.0,1.0,1.0,1.0
PXD019519,Characteristics[BiologicalReplicate],1.0,1.0,1.0,1.0
PXD019519,Characteristics[SyntheticPeptide],1.0,1.0,1.0,1.0
PXD019519,Characteristics[GeneticModification],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Modification].3,1.0,1.0,1.0,1.0
PXD019519,Characteristics[AncestryCategory],1.0,1.0,1.0,1.0
PXD019519,Comment[EnrichmentMethod],0.0,0.0,0.0,0.0
PXD019519,FactorValue[Bait],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Modification],0.0,0.0,0.0,0.0
PXD019519,Characteristics[TumorStage],1.0,1.0,1.0,1.0
PXD019519,FactorValue[GeneticModification],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Sex],1.0,1.0,1.0,1.0
PXD019519,Characteristics[MaterialType],0.0,0.0,0.0,0.0
PXD019519,FactorValue[Temperature],1.0,1.0,1.0,1.0
PXD019519,Comment[FragmentMassTolerance],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Treatment],0.0,0.0,0.0,0.0
PXD019519,Comment[FlowRateChromatogram],0.0,0.0,0.0,0.0
PXD019519,FactorValue[Treatment],1.0,1.0,1.0,1.0
PXD019519,Characteristics[CleavageAgent],0.0,0.0,0.0,0.0
PXD019519,Characteristics[ConcentrationOfCompound],1.0,1.0,1.0,1.0
PXD019519,Characteristics[NumberOfSamples],1.0,1.0,1.0,1.0
PXD019519,PXD,1.0,1.0,1.0,1.0
PXD019519,Characteristics[Time],0.0,0.0,0.0,0.0
PXD019519,Characteristics[Label],0.0,0.0,0.0,0.0
PXD019519,Characteristics[Age],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Depletion],1.0,1.0,1.0,1.0
PXD019519,Characteristics[DiseaseTreatment],1.0,1.0,1.0,1.0
PXD019519,Comment[FractionIdentifier],1.0,1.0,1.0,1.0
PXD019519,Raw Data File,1.0,1.0,1.0,1.0
PXD019519,Comment[MS2MassAnalyzer],0.0,0.0,0.0,0.0
PXD019519,Characteristics[AnatomicSiteTumor],1.0,1.0,1.0,1.0
PXD019519,Characteristics[CellPart],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Temperature],1.0,1.0,1.0,1.0
PXD019519,Comment[FragmentationMethod],0.0,0.0,0.0,0.0
PXD019519,Characteristics[Modification].4,0.0,0.0,0.0,0.0
PXD019519,Characteristics[DevelopmentalStage],1.0,1.0,1.0,1.0
PXD019519,Characteristics[BMI],1.0,1.0,1.0,1.0
PXD019519,FactorValue[Compound],1.0,1.0,1.0,1.0
PXD019519,Comment[IonizationType],0.0,0.0,0.0,0.0
PXD019519,Characteristics[CellLine],0.0,0.0,0.0,0.0
PXD019519,Characteristics[Compound],0.0,0.0,0.0,0.0
PXD019519,Characteristics[Genotype],1.0,1.0,1.0,1.0
PXD019519,Characteristics[ReductionReagent],0.0,0.0,0.0,0.0
PXD019519,Comment[GradientTime],0.0,0.0,0.0,0.0
PXD019519,Comment[AcquisitionMethod],0.0,0.0,0.0,0.0
PXD019519,Comment[Instrument],0.0,0.0,0.0,0.0
PXD019519,Characteristics[TumorSize],1.0,1.0,1.0,1.0
PXD019519,FactorValue[ConcentrationOfCompound].1,1.0,1.0,1.0,1.0
PXD019519,Characteristics[SpikedCompound],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Disease],0.0,0.0,0.0,0.0
PXD019519,Characteristics[Organism],0.0,0.0,0.0,0.0
PXD019519,Characteristics[NumberOfBiologicalReplicates],1.0,1.0,1.0,1.0
PXD019519,FactorValue[Disease],1.0,1.0,1.0,1.0
PXD019519,Characteristics[OriginSiteDisease],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Modification].6,1.0,1.0,1.0,1.0
PXD019519,FactorValue[FractionIdentifier],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Bait],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Modification].2,0.0,0.0,0.0,0.0
PXD019519,Comment[FractionationMethod],0.0,0.0,0.0,0.0
PXD019519,Characteristics[CellType],0.0,0.0,0.0,0.0
PXD019519,Comment[Separation],0.0,0.0,0.0,0.0
PXD019519,Characteristics[SamplingTime],1.0,1.0,1.0,1.0
PXD019519,Characteristics[TumorSite],0.0,0.0,0.0,0.0
PXD019519,Characteristics[AlkylationReagent],0.0,0.0,0.0,0.0
PXD019519,Characteristics[PooledSample],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Staining],1.0,1.0,1.0,1.0
PXD019519,Comment[PrecursorMassTolerance],1.0,1.0,1.0,1.0
PXD019519,Characteristics[OrganismPart],1.0,1.0,1.0,1.0
PXD019519,Characteristics[TumorGrade],1.0,1.0,1.0,1.0
PXD019519,Comment[NumberOfFractions],1.0,1.0,1.0,1.0
PXD019519,Comment[NumberOfMissedCleavages],0.0,0.0,0.0,0.0
PXD019519,Characteristics[Modification].1,0.0,0.0,0.0,0.0
PXD019519,Characteristics[Strain],1.0,1.0,1.0,1.0
PXD019519,Characteristics[TumorCellularity],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Specimen],1.0,1.0,1.0,1.0
PXD019519,Characteristics[Modification].5,1.0,1.0,1.0,1.0
PXD019519,Comment[CollisionEnergy],0.0,0.0,0.0,0.0
PXD019519,FactorValue[CellPart],1.0,1.0,1.0,1.0
PXD025663,Characteristics[NumberOfTechnicalReplicates],1.0,1.0,1.0,1.0
PXD025663,Characteristics[GrowthRate],1.0,1.0,1.0,1.0
PXD025663,Characteristics[BiologicalReplicate],1.0,1.0,1.0,1.0
PXD025663,Characteristics[SyntheticPeptide],1.0,1.0,1.0,1.0
PXD025663,Characteristics[GeneticModification],0.0,0.0,0.0,0.0
PXD025663,Characteristics[Modification].3,0.0,0.0,0.0,0.0
PXD025663,Characteristics[AncestryCategory],1.0,1.0,1.0,1.0
PXD025663,Comment[EnrichmentMethod],1.0,1.0,1.0,1.0
PXD025663,FactorValue[Bait],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Modification],0.0,0.0,0.0,0.0
PXD025663,Characteristics[TumorStage],1.0,1.0,1.0,1.0
PXD025663,FactorValue[GeneticModification],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Sex],1.0,1.0,1.0,1.0
PXD025663,Characteristics[MaterialType],0.0,0.0,0.0,0.0
PXD025663,FactorValue[Temperature],1.0,1.0,1.0,1.0
PXD025663,Comment[FragmentMassTolerance],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Treatment],1.0,1.0,1.0,1.0
PXD025663,Comment[FlowRateChromatogram],1.0,1.0,1.0,1.0
PXD025663,FactorValue[Treatment],0.125,0.5,0.2,0.25
PXD025663,Characteristics[CleavageAgent],0.0,0.0,0.0,0.0
PXD025663,Characteristics[ConcentrationOfCompound],1.0,1.0,1.0,1.0
PXD025663,Characteristics[NumberOfSamples],1.0,1.0,1.0,1.0
PXD025663,PXD,1.0,1.0,1.0,1.0
PXD025663,Characteristics[Time],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Label],0.0,0.0,0.0,0.0
PXD025663,Characteristics[Age],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Depletion],1.0,1.0,1.0,1.0
PXD025663,Characteristics[DiseaseTreatment],1.0,1.0,1.0,1.0
PXD025663,Comment[FractionIdentifier],1.0,1.0,1.0,1.0
PXD025663,Raw Data File,1.0,1.0,1.0,1.0
PXD025663,Comment[MS2MassAnalyzer],1.0,1.0,1.0,1.0
PXD025663,Characteristics[AnatomicSiteTumor],1.0,1.0,1.0,1.0
PXD025663,Characteristics[CellPart],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Temperature],1.0,1.0,1.0,1.0
PXD025663,Comment[FragmentationMethod],0.3333333333333333,0.5,0.4,0.6666666666666666
PXD025663,Characteristics[Modification].4,0.0,0.0,0.0,0.0
PXD025663,Characteristics[DevelopmentalStage],1.0,1.0,1.0,1.0
PXD025663,Characteristics[BMI],1.0,1.0,1.0,1.0
PXD025663,FactorValue[Compound],1.0,1.0,1.0,1.0
PXD025663,Comment[IonizationType],0.0,0.0,0.0,0.0
PXD025663,Characteristics[CellLine],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Compound],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Genotype],0.0,0.0,0.0,0.0
PXD025663,Characteristics[ReductionReagent],0.0,0.0,0.0,0.0
PXD025663,Comment[GradientTime],0.0,0.0,0.0,0.0
PXD025663,Comment[AcquisitionMethod],0.0,0.0,0.0,0.0
PXD025663,Comment[Instrument],0.0,0.0,0.0,0.0
PXD025663,Characteristics[TumorSize],1.0,1.0,1.0,1.0
PXD025663,FactorValue[ConcentrationOfCompound].1,1.0,1.0,1.0,1.0
PXD025663,Characteristics[SpikedCompound],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Disease],0.0,0.0,0.0,0.0
PXD025663,Characteristics[Organism],0.0,0.0,0.0,0.0
PXD025663,Characteristics[NumberOfBiologicalReplicates],1.0,1.0,1.0,1.0
PXD025663,FactorValue[Disease],0.0,0.0,0.0,0.0
PXD025663,Characteristics[OriginSiteDisease],0.0,0.0,0.0,0.0
PXD025663,Characteristics[Modification].6,0.0,0.0,0.0,0.0
PXD025663,FactorValue[FractionIdentifier],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Bait],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Modification].2,0.0,0.0,0.0,0.0
PXD025663,Comment[FractionationMethod],0.0,0.0,0.0,0.0
PXD025663,Characteristics[CellType],1.0,1.0,1.0,1.0
PXD025663,Comment[Separation],0.0,0.0,0.0,0.0
PXD025663,Characteristics[SamplingTime],1.0,1.0,1.0,1.0
PXD025663,Characteristics[TumorSite],1.0,1.0,1.0,1.0
PXD025663,Characteristics[AlkylationReagent],0.0,0.0,0.0,0.0
PXD025663,Characteristics[PooledSample],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Staining],1.0,1.0,1.0,1.0
PXD025663,Comment[PrecursorMassTolerance],1.0,1.0,1.0,1.0
PXD025663,Characteristics[OrganismPart],0.0,0.0,0.0,0.0
PXD025663,Characteristics[TumorGrade],1.0,1.0,1.0,1.0
PXD025663,Comment[NumberOfFractions],1.0,1.0,1.0,1.0
PXD025663,Comment[NumberOfMissedCleavages],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Modification].1,0.0,0.0,0.0,0.0
PXD025663,Characteristics[Strain],1.0,1.0,1.0,1.0
PXD025663,Characteristics[TumorCellularity],1.0,1.0,1.0,1.0
PXD025663,Characteristics[Specimen],0.0,0.0,0.0,0.0
PXD025663,Characteristics[Modification].5,0.0,0.0,0.0,0.0
PXD025663,Comment[CollisionEnergy],1.0,1.0,1.0,1.0
PXD025663,FactorValue[CellPart],1.0,1.0,1.0,1.0
PXD004010,Characteristics[NumberOfTechnicalReplicates],1.0,1.0,1.0,1.0
PXD004010,Characteristics[GrowthRate],1.0,1.0,1.0,1.0
PXD004010,Characteristics[BiologicalReplicate],1.0,1.0,1.0,1.0
PXD004010,Characteristics[SyntheticPeptide],1.0,1.0,1.0,1.0
PXD004010,Characteristics[GeneticModification],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Modification].3,1.0,1.0,1.0,1.0
PXD004010,Characteristics[AncestryCategory],1.0,1.0,1.0,1.0
PXD004010,Comment[EnrichmentMethod],1.0,1.0,1.0,1.0
PXD004010,FactorValue[Bait],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Modification],0.0,0.0,0.0,0.0
PXD004010,Characteristics[TumorStage],1.0,1.0,1.0,1.0
PXD004010,FactorValue[GeneticModification],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Sex],1.0,1.0,1.0,1.0
PXD004010,Characteristics[MaterialType],0.0,0.0,0.0,0.0
PXD004010,FactorValue[Temperature],1.0,1.0,1.0,1.0
PXD004010,Comment[FragmentMassTolerance],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Treatment],1.0,1.0,1.0,1.0
PXD004010,Comment[FlowRateChromatogram],0.0,0.0,0.0,0.0
PXD004010,FactorValue[Treatment],1.0,1.0,1.0,1.0
PXD004010,Characteristics[CleavageAgent],0.0,0.0,0.0,0.0
PXD004010,Characteristics[ConcentrationOfCompound],1.0,1.0,1.0,1.0
PXD004010,Characteristics[NumberOfSamples],1.0,1.0,1.0,1.0
PXD004010,PXD,1.0,1.0,1.0,1.0
PXD004010,Characteristics[Time],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Label],0.0,0.0,0.0,0.0
PXD004010,Characteristics[Age],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Depletion],1.0,1.0,1.0,1.0
PXD004010,Characteristics[DiseaseTreatment],1.0,1.0,1.0,1.0
PXD004010,Comment[FractionIdentifier],1.0,1.0,1.0,1.0
PXD004010,Raw Data File,1.0,1.0,1.0,1.0
PXD004010,Comment[MS2MassAnalyzer],1.0,1.0,1.0,1.0
PXD004010,Characteristics[AnatomicSiteTumor],1.0,1.0,1.0,1.0
PXD004010,Characteristics[CellPart],1.0,1.0,1.0,1.0
PXD004010,Characteristics[Temperature],1.0,1.0,1.0,1.0
